,strategy_nav,hs300_nav,equal_weight_nav
2015-03-16,1671260.2959322948,1595909.525491178,1351079.432735943
2015-03-17,1693750.2952147597,1618067.3390813034,1359184.5136846344
2015-03-18,1724538.1485430656,1656366.5492381526,1379921.3897978552
2015-03-19,1738455.836655726,1653649.040904747,1382272.0103667465
2015-03-20,1758039.6769102018,1676401.1748593894,1394827.49740333
2015-03-23,1804900.7803740904,1710634.8891894007,1415864.9656882002
2015-03-24,1818635.1801991668,1711061.2494509018,1420606.8019270499
2015-03-25,1842406.2172188691,1697004.280829294,1416168.708879613
2015-03-26,1817739.552956935,1701134.3766957528,1409558.848151313
2015-03-27,1838599.3382711925,1710479.8490943091,1417432.981771612
2015-03-30,1851045.9993320075,1760643.9331949474,1432066.431710619
2015-03-31,1858546.9966620293,1744717.8700936288,1427772.311442347
2015-04-01,1904736.7962775524,1776027.3559634467,1445537.6594255036
2015-04-02,1946340.9133113874,1776406.3428625588,1459572.4983043382
2015-04-03,1980658.655498983,1796113.6616163808,1472535.2540826164
2015-04-06,1980658.655498983,,1472535.2540826164
2015-04-07,1979074.128574584,1834658.351923791,1471998.1156395127
2015-04-08,1986219.7946907568,1850059.0013695227,1472934.2432015906
2015-04-09,1969327.8805119,1835562.7524784901,1467765.5753379331
2015-04-10,2019767.5999985894,1870998.0275454584,1489156.0680575694
2015-04-13,2063872.450024414,1904008.647791972,1503837.851702345
2015-04-14,2065231.0509726165,1911377.3589781148,1503521.366200603
2015-04-15,1984041.9303544404,1886540.797078357,1481892.5721791887
2015-04-16,2008511.4431791059,1943836.7255531931,1504037.6120615262
2015-04-17,2019956.5920043346,1979405.507368713,1508331.8943471708
2015-04-20,1979530.9211519381,1947441.4077640648,1495638.610123664
2015-04-21,2051166.0233054208,1989319.4601159368,1522813.142423057
2015-04-22,2104594.8521911562,2041279.425318049,1549972.0212556494
2015-04-23,2115867.8171825507,2041744.5456033226,1556748.1666647769
2015-04-24,2108388.8829653338,2025271.5354998766,1555443.3384076161
2015-04-27,2142410.7296994226,2070470.0298882863,1566760.377243686
2015-04-28,2076960.9000431632,2042162.2925262072,1549188.1596637028
2015-04-29,2123403.0244566705,2056146.0477695772,1563491.3929872962
2015-04-30,2123185.7810268383,2045620.5479806045,1561389.2311932174
2015-05-01,2123185.7810268383,,1565387.1692761045
2015-05-04,2121487.232402017,2061921.2913117267,1565971.5759331747
2015-05-05,2088634.348521224,1979706.9742202791,1528714.1265653071
2015-05-06,2063931.9189197014,1960968.6560607774,1522645.327199772
2015-05-07,2020908.53386347,1925119.940740232,1504101.538856547
2015-05-08,2044745.0239450126,1963152.1373999792,1537957.0612004823
2015-05-11,2132712.034121411,2020056.1589677793,1572631.409035416
2015-05-12,2195474.8728675214,2044556.8006615064,1589015.43115605
2015-05-13,2184365.0882531833,2032076.0730066597,1585447.4768339242
2015-05-14,2174303.3859758317,2024470.4950085722,1589194.522385911
2015-05-15,2176263.3908156604,1988591.6330028705,1579859.7917954503
2015-05-18,2253784.962518825,1970361.5018217235,1590823.6242256355
2015-05-19,2297231.8748878106,2037579.9963824002,1615817.5996734267
2015-05-20,2355322.3825574056,2047786.8026425745,1627408.6145184305
2015-05-21,2441239.5847512507,2084849.9987080013,1654908.214986181
2015-05-22,2447326.765300884,2132374.0945227803,1671300.7012331903
2015-05-25,2447290.05921384,2196186.0136607573,1692669.1611715306
2015-05-26,2537671.309036398,2239002.9199217935,1719465.94393715
2015-05-27,2569968.7067614836,2231470.5553019433,1724883.6275490632
2015-05-28,2420746.5371080004,2081848.2502002628,1659583.5294695294
