date,open,high,low,close,volume,amount
2020-06-02,3064.78,3081.0701,3051.6399,3080.8201,2807173294,8616840000000
2020-06-03,3098.8999,3130.9399,3098.8999,3122.8701,3160241158,9837520000000
2020-06-04,3111.5601,3128.9099,3090.4099,3112.3501,3738795746,11630700000000
2020-06-05,3163.8401,3211.72,3163.8401,3193.9299,4795458701,15265500000000
2020-06-08,3199.9199,3233.1299,3196.0,3232.3899,3698462911,11891900000000
2020-06-09,3213.3201,3222.71,3193.1101,3207.1799,3156921516,10130800000000
2020-06-10,3213.4199,3223.27,3181.49,3190.1399,3568860875,11427800000000
2020-06-11,3123.53,3123.53,2999.49,3002.1001,4123277874,12626100000000
2020-06-12,3071.04,3088.4199,2984.47,3041.3101,3385763024,10314100000000
2020-06-15,2993.76,3079.76,2965.6599,3066.5901,3208913333,9711590000000
2020-06-16,3131.0,3153.45,3076.0601,3124.74,3286788794,10259100000000
2020-06-17,3136.1299,3141.1599,3108.03,3113.49,2483191141,7759230000000
2020-06-18,3101.6399,3120.0,3093.51,3115.3401,2399667782,7457260000000
2020-06-19,3140.29,3155.53,3083.1101,3097.74,4992776964,15573300000000
2020-06-22,3094.4199,3120.9199,3079.3899,3117.8601,2559744788,7943270000000
2020-06-23,3138.7,3154.8999,3127.1201,3131.29,2719245393,8533000000000
2020-06-24,3114.3999,3115.01,3032.1299,3050.3301,3203219699,9859410000000
2020-06-25,3046.6001,3086.25,3024.01,3083.76,2707762288,8286170000000
2020-06-26,3073.2,3073.73,3004.6299,3009.05,4385258096,13331900000000
2020-06-29,3018.5901,3053.8899,2999.74,3053.24,2633408640,7982820000000
2020-06-30,3050.2,3111.51,3047.8301,3100.29,2757387711,8485740000000
2020-07-01,3105.9199,3128.4399,3101.1699,3115.8601,2697727407,8397610000000
2020-07-02,3143.6399,3165.8101,3124.52,3130.01,2326767585,7308370000000
2020-07-06,3155.29,3182.5901,3155.29,3179.72,2380431984,7541740000000
2020-07-07,3166.4399,3184.1499,3142.9299,3145.3201,2287837089,7228900000000
2020-07-08,3153.0701,3171.8,3136.53,3169.9399,2390189825,7547830000000
2020-07-09,3176.1699,3179.78,3115.7,3152.05,2597178292,8196500000000
2020-07-10,3152.47,3186.8201,3136.22,3185.04,2407407212,7619770000000
2020-07-13,3205.0801,3235.3201,3149.4299,3155.22,2695331634,8588030000000
2020-07-14,3141.1101,3200.95,3127.6599,3197.52,2628539056,8324080000000
2020-07-15,3225.98,3238.28,3200.76,3226.5601,2841976156,9159390000000
2020-07-16,3208.3601,3220.3899,3198.5901,3215.5701,2209581968,7094370000000
2020-07-17,3224.21,3233.52,3205.6499,3224.73,2219971191,7152810000000
2020-07-20,3224.29,3258.6101,3215.1599,3251.8401,2171757450,7031010000000
2020-07-21,3268.52,3277.29,3247.77,3257.3,2472394555,8066730000000
2020-07-22,3254.8601,3279.3201,3253.1001,3276.02,2412594515,7879110000000
2020-07-23,3271.6399,3279.99,3222.6599,3235.6599,2737810512,8904690000000
2020-07-24,3218.5801,3227.26,3200.05,3215.6299,2460013758,7909880000000
2020-07-27,3219.8401,3241.4299,3214.25,3239.4099,2355910999,7606610000000
2020-07-28,3234.27,3243.72,3216.1699,3218.4399,2235534686,7216640000000
2020-07-29,3227.22,3264.74,3227.22,3258.4399,2467083167,8004220000000
2020-07-30,3231.76,3250.9199,3204.1299,3246.22,2425538883,7842390000000
2020-07-31,3270.45,3272.1699,3220.26,3271.1201,3065634931,9989370000000
2020-08-03,3288.26,3302.73,3284.53,3294.6101,2378355795,7830810000000
2020-08-04,3289.9199,3306.8401,3286.3701,3306.51,2404966031,7930160000000
2020-08-05,3317.3701,3330.77,3317.3701,3327.77,2446007003,8128860000000
2020-08-06,3323.1699,3351.03,3318.1399,3349.1599,2414278723,8052520000000
2020-08-07,3340.05,3352.54,3328.72,3351.28,2282910037,7632100000000
2020-08-10,3356.04,3363.29,3335.4399,3360.47,2566548632,8607720000000
2020-08-11,3370.3401,3381.01,3326.4399,3333.6899,2900493747,9724980000000
2020-08-12,3355.46,3387.8899,3355.46,3380.3501,2245003448,7565190000000
2020-08-13,3372.95,3387.24,3363.3501,3373.4299,1964512010,6628740000000
2020-08-14,3368.6599,3378.51,3361.6399,3372.8501,1711020614,5766850000000
2020-08-17,3380.8601,3387.5901,3379.22,3381.99,1951691959,6601430000000
2020-08-18,3387.04,3395.0601,3370.1499,3389.78,1794617543,6075690000000
2020-08-19,3392.51,3399.54,3369.6599,3374.8501,2018139580,6829670000000
2020-08-20,3360.48,3390.8,3354.6899,3385.51,1832094273,6179420000000
2020-08-21,3386.01,3399.96,3379.3101,3397.1599,1994452682,6762410000000
2020-08-24,3418.0901,3432.0901,3413.1299,3431.28,2271749784,7777670000000
2020-08-25,3435.95,3444.21,3425.8401,3443.6201,2040869584,7015300000000
2020-08-26,3449.97,3481.0701,3444.1499,3478.73,2003087362,6937650000000
