date,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2018-01-25,6386.8,6382.72,6424.35,6380.84,81082936,95990444032.0,0.68,-0.18,-11.58,0.72
2018-01-26,6374.1,6383.63,6401.48,6368.9,69004549,82476802048.0,0.51,0.01,0.91,0.62
2018-01-29,6385.04,6309.88,6398.97,6295.9,84031160,96862081024.0,1.61,-1.16,-73.75,0.75
2018-01-30,6301.35,6313.44,6330.54,6300.46,70699689,81577586688.0,0.48,0.06,3.56,0.63
2018-01-31,6277.74,6189.34,6277.74,6170.16,80733496,88106213376.0,1.7,-1.97,-124.1,0.72
2018-02-01,6181.0,5984.74,6196.71,5984.28,94968525,102122045440.0,3.43,-3.31,-204.6,0.85
2018-02-02,5937.62,6004.85,6006.47,5844.46,83747561,89557323776.0,2.71,0.34,20.11,0.75
2018-02-05,5927.74,5998.22,6016.16,5907.47,74046520,79277072384.0,1.81,-0.11,-6.63,0.66
2018-02-06,5886.35,5704.26,5920.74,5702.85,92340708,95655940096.0,3.63,-4.9,-293.96,0.83
2018-02-07,5805.97,5711.33,5831.81,5630.09,85235996,88965423104.0,3.54,0.12,7.07,0.76
2018-02-08,5695.67,5766.48,5786.79,5691.29,62444797,66338245120.0,1.67,0.97,55.15,0.56
2018-02-09,5631.96,5554.9,5663.1,5490.62,84318843,82291671040.0,2.99,-3.67,-211.58,0.75
2018-02-12,5581.71,5699.1,5714.82,5581.71,57246495,61430758144.0,2.4,2.6,144.2,0.51
2018-02-13,5731.15,5736.95,5789.7,5727.75,57208635,62790499584.0,1.09,0.66,37.85,0.51
2018-02-14,5741.88,5754.83,5761.77,5712.88,41398222,42489982208.0,0.85,0.31,17.88,0.37
2018-02-22,5800.95,5875.73,5875.76,5797.91,59636106,61991950336.0,1.35,2.1,120.9,0.53
2018-02-23,5877.72,5897.68,5902.94,5848.52,62147850,64825103104.0,0.93,0.37,21.95,0.56
2018-02-26,5926.42,6029.68,6032.14,5917.62,83073987,92064854016.0,1.94,2.24,132.0,0.74
2018-02-27,6025.88,6010.56,6042.39,6000.88,77022159,90285129728.0,0.69,-0.32,-19.12,0.69
2018-02-28,5967.9,6023.68,6044.07,5939.64,70986916,82266509312.0,1.74,0.22,13.12,0.63
2018-03-01,5987.36,6090.22,6091.0,5974.12,73101773,86470402048.0,1.94,1.1,66.54,0.65
2018-03-02,6053.48,6056.34,6094.8,6044.26,73434829,86135001088.0,0.83,-0.56,-33.88,0.66
2018-03-05,6066.68,6064.1,6080.97,6031.98,67324692,82113732608.0,0.81,0.13,7.76,0.6
